lang	acc	ppl_cor	ppl_inc
en	44.3	10906685742728.82	8822960235519.76
ru	47.1	1756599684641.17	1644000210660.46
zh	47.1	159144340963.68	147749227294.5
es	50.0	3528822776250.11	3835068725592.8
ar	45.7	251904616483.94	215772775863.35
hi	50.0	3066917931744.81	3540120912896.6
id	44.0	1437592182635.79	1112271621642.15
te	46.9	937732573063.32	899503875835.87
sw	45.6	771065411699.91	593206696510.21
eu	49.4	368453764833.32	353587362030.71
my	48.8	306924503491.8	286682536866.08
avg	47.2	2135622138957.88	1950084016428.41
